miRNA,182_S25_R1_001,112_S27_R1_001,15-7p150_S32_R1_001,192_S22_R1_001,15-1p16_S33_R1_001,121_S24_R1_001,153_S15_R1_001,124_S16_R1_001,166_S4_R1_001,059_S13_R1_001,167_S23_R1_001,149_S3_R1_001,093_S6_R1_001,144_S5_R1_001,062_S19_R1_001,179_S26_R1_001,138_S30_R1_001,033_S21_R1_001,6c_S47_R1_001,123_S20_R1_001,1c_S43_R1_001,29-7p16_S41_R1_001,Undetermined_S0_R1_001,197_S2_R1_001,15-7p16_S31_R1_001,29-1p16_S39_R1_001,17-7p150_S38_R1_001,109_S9_R1_001,187_S10_R1_001,105_S1_R1_001,15-1p150_S34_R1_001,29-7p150_S42_R1_001,17-1p150_S36_R1_001,17-7p16_S37_R1_001,127_S29_R1_001,164_S14_R1_001,075_S12_R1_001,135_S7_R1_001,17-1p16_S35_R1_001,019_S18_R1_001,125_S11_R1_001,106_S28_R1_001,7c_S44_R1_001,32c_S45_R1_001,29-1p150_S40_R1_001,4c_S46_R1_001,103_S17_R1_001,34c_S48_R1_001,128_S8_R1_001
hsa-let-7a-2-3p,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,1679.0,202.0,15.0,264.0,72.0,92.0,160.0,213.0,289.0,261.0,19.0,423.0,139.0,132.0,470.0,398.0,691.0,246.0,303.0,273.0,255.0,0.0,190.0,39.0,176.0,8.0,78.0,207.0,150.0,151.0,237.0,0.0,86.0,56.0,0.0,276.0,0.0,257.0,62.0,58.0,447.0,5.0,397.0,47.0,19.0,0.0,200.0,12.0,236.0
hsa-let-7a-5p/7c-5p,45963.0,85168.0,18202.0,140333.0,44111.0,143091.0,50499.0,80045.0,61240.0,185273.0,90917.0,93953.0,42780.0,44676.0,155180.0,105957.0,53985.0,105140.0,327721.0,99114.0,153899.0,8992.0,71994.0,96399.0,83965.0,4567.0,6398.0,140091.0,73040.0,70803.0,30241.0,6154.0,10705.0,57272.0,13235.0,82364.0,13690.0,127638.0,31702.0,69364.0,108998.0,17338.0,530104.0,59386.0,4289.0,2477.0,60959.0,1147302.0,142998.0
hsa-let-7b-3p,1212.0,111.0,0.0,165.0,0.0,37.0,96.0,140.0,116.0,46.0,43.0,74.0,92.0,107.0,217.0,230.0,179.0,209.0,193.0,146.0,212.0,0.0,113.0,0.0,0.0,0.0,230.0,76.0,201.0,136.0,519.0,7.0,98.0,67.0,0.0,131.0,0.0,110.0,115.0,18.0,152.0,3.0,577.0,245.0,17.0,0.0,136.0,75.0,57.0
hsa-let-7b-5p,14348.0,34271.0,1948.0,37892.0,3690.0,53272.0,9621.0,18048.0,10461.0,30357.0,38677.0,7922.0,6426.0,13828.0,35666.0,19112.0,16421.0,25588.0,65413.0,31399.0,47327.0,1040.0,15004.0,26765.0,1940.0,662.0,1351.0,21797.0,11771.0,16746.0,4884.0,964.0,1664.0,4527.0,5866.0,8238.0,9146.0,19229.0,2621.0,18432.0,8588.0,8843.0,78796.0,21094.0,663.0,1598.0,12270.0,277443.0,26730.0
hsa-let-7c-3p,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-3p,10668.0,4215.0,2276.0,3190.0,1472.0,2834.0,1830.0,2120.0,2155.0,2700.0,2677.0,2693.0,2064.0,1456.0,6177.0,7248.0,3115.0,3857.0,1661.0,3862.0,539.0,331.0,1932.0,2002.0,803.0,108.0,2964.0,2403.0,5358.0,1916.0,6414.0,830.0,2926.0,1533.0,447.0,2645.0,228.0,2649.0,733.0,1296.0,2701.0,27.0,1299.0,568.0,425.0,7.0,2023.0,1941.0,3623.0
hsa-let-7d-5p,2454.0,6977.0,1162.0,9225.0,2503.0,6677.0,4682.0,8810.0,4646.0,10480.0,4186.0,6303.0,2977.0,3225.0,11412.0,7215.0,7521.0,6393.0,12936.0,6221.0,5037.0,655.0,4044.0,4424.0,4221.0,307.0,401.0,7986.0,3792.0,3678.0,2177.0,354.0,635.0,3850.0,555.0,3760.0,43.0,8013.0,1712.0,4313.0,5242.0,69.0,15010.0,2044.0,319.0,158.0,6156.0,41725.0,7347.0
hsa-let-7e-3p,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,0.0,82.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,0.0,51.0,5.0,0.0,0.0,16.0,16.0,0.0
hsa-let-7e-5p,556.0,1551.0,385.0,5941.0,5231.0,5497.0,1159.0,1279.0,1337.0,4062.0,3665.0,1667.0,2528.0,2201.0,7715.0,6008.0,1198.0,2680.0,22045.0,2078.0,3875.0,721.0,2028.0,3861.0,6621.0,395.0,334.0,1503.0,2018.0,3547.0,1937.0,423.0,1129.0,5979.0,1116.0,2240.0,1318.0,1673.0,3656.0,2260.0,2514.0,30.0,10488.0,427.0,81.0,89.0,2238.0,5693.0,2580.0
